Index	norge	modell	likestilling	paradoks	myte	voldta
20190110-politiet-etterlyser-	1	0	0	0	0	0
20190110-politiet-forberedt-p	0	0	0	0	0	0
20190110-private-selskaper-ka	0	3	0	0	0	0
20190110-psychobitch-livet-er	0	0	0	0	0	0
20190110-sivile-helikoptre-ka	2	0	0	0	0	0
20190110-snart-to-meter-sno-i	0	0	0	0	0	0
20190110-sognen-om-beskyldnin	0	0	0	0	0	0
20190110-to-bilbranner-pa-kor	0	0	0	0	0	0
20190110-trumps-shutdown-har-	0	0	0	0	0	0
20190110-ut-og-stjale-hester-	4	0	0	0	0	0
20190110-visker-ut-skillene	1	1	0	0	0	0
20190111---band-som-slutter-a	0	0	0	0	0	0
20190111---bor-man-i-en-polit	0	0	0	0	0	0
20190111---byradet-svikter-de	0	0	0	0	0	0
20190111---ser-svart-ut-for-y	0	0	0	0	0	0
20190111-150-nye-tips-etter-a	2	0	0	0	0	0
20190111-18-millioner-til-bed	0	0	0	0	0	0
20190111-21-aring-siktet-for-	0	0	0	0	0	0
20190111-aftonbladet-svenske-	0	0	0	0	0	0
20190111-amerikanske-familier	0	0	0	0	0	0
20190111-farevarselet-oppjust	2	0	0	0	0	0
20190111-for-sein-spellemann	0	0	0	0	0	0
20190111-fredrik-brustad-klar	0	0	0	0	0	0
20190111-frps-innvandringstal	1	0	0	0	0	0
20190111-i-viking-spilte-han-	0	0	0	0	0	0
20190111-ine-eriksen-soreide-	1	0	0	0	0	0
20190111-johnsrud-sundby-ma-f	0	0	0	0	0	0
20190111-kabal-rundt-uttak-av	10	0	0	0	0	0
20190111-krf-avskyelig-innvan	1	0	0	0	0	0
20190111-makedonia-enig-om-na	0	0	0	0	0	0
20190111-nestlederen-tar-vedu	0	0	0	0	0	0
20190111-nrk-en-regjeringspla	0	0	0	0	0	0
20190111-regjeringsfloken-ska	0	0	0	0	0	0
20190111-slagsmal-i-oslo-sent	0	0	0	0	0	0
20190111-sognen-om-beskyldnin	0	0	0	0	0	0
20190111-sot-pa-tv-sur-pa-bun	1	0	0	0	0	0
20190111-statsansatte-kan-fa-	0	0	0	0	0	0
20190111-stor-nedgang-for-frp	0	0	0	0	0	0
20190111-thingnes-bo-pa-annen	0	0	0	0	0	0
20190111-trump-pa-besok-ved-g	0	0	0	0	0	0
20190111-vif-vant-stavanger-t	0	0	0	0	0	0
20190112---rovviltnemdene-er-	2	0	0	0	0	0
20190112-advokat---behandling	0	0	0	0	0	0
20190112-amerikansk-professor	6	0	0	0	0	0
20190112-arets-forste-liverpo	0	0	0	0	0	0
20190112-bakkerekord-sendte-l	0	0	0	0	0	0
20190112-bokko-og-pedersen-pa	0	0	0	0	0	0
20190112-kontrollert-vm-apnin	15	0	0	0	0	0
20190112-mange-skadd-i-krafti	0	0	0	0	0	0
20190112-politiet-har-fatt-in	1	0	0	0	0	0
20190112-pompeo-taler-trump-m	0	0	0	0	0	0
20190112-senterpartiet-suser-	1	0	0	0	0	0
20190112-siste-natt-pa-museet	0	0	0	0	0	0
20190112-slagsmal-med-oks-i-o	0	0	0	0	0	0
20190112-stockholm-rykker-nar	0	0	0	0	0	0
20190112-traktorforer-tiltalt	0	0	0	0	0	0
20190112-tulsi-gabbard-vil-bl	0	0	0	0	0	0
20190112-ujevnt-i-kverna	0	0	0	0	0	0
20190112-vifs-malfest-fortset	0	0	0	0	0	0
20190112-vms-tyngste-spiller-	10	0	0	0	0	0
20190113---debatt-om-kritikk-	1	0	0	0	0	0
20190113-16-evakuert-og-n-til	0	0	0	0	0	0
20190113-de-borgerlige-partie	0	0	0	0	0	0
20190113-fikk-eos-oppror-pa-m	1	0	0	0	0	0
20190113-fortvilet-mor---hva-	5	0	0	0	0	0
20190113-ingen-far-vite-hva-t	0	0	0	0	0	0
20190113-israelske-bosettere-	0	0	0	0	0	0
20190113-japansk-pass-karet-t	0	0	0	0	0	0
20190113-kristoffersen-pa-pal	1	0	0	0	0	0
20190113-lundby-slo-knockout-	0	0	0	0	0	0
20190113-mann-tiltalt-for-fle	0	0	0	0	0	0
