Index	norge	modell	likestilling	paradoks	myte	voldta
20190103-hareide-om-em---vi-s	1	0	0	0	0	0
20190103-haugesund-langer-ut-	1	0	0	0	0	0
20190103-hun-kom-til-washingt	0	1	0	0	0	0
20190103-ingen-losning-pa-ned	0	0	0	0	0	0
20190103-ingve-boes-blogg-vik	0	0	0	0	0	0
20190103-kinesisk-tv-romsonde	0	0	0	0	0	0
20190103-klabo-fortsetter-i-t	0	0	0	0	0	0
20190103-lovendring-om-klimam	3	0	0	0	0	0
20190103-magnus-pa-nrk-norges	2	0	0	0	0	0
20190103-med-nervene-i-helspe	0	0	0	0	0	0
20190103-morten-aa-djupvik-fe	0	0	0	0	0	0
20190103-na-har-rivalen-skift	0	0	0	0	0	0
20190103-nils-arne-eggen-omfa	0	0	0	0	0	0
20190103-nordmann-skutt-i-hod	0	0	0	0	0	0
20190103-norsk-bedrageridomt-	0	0	0	0	0	0
20190103-nsb-kaster-seg-ut-i-	1	0	0	0	0	0
20190103-nyttarsonsket-brann-	0	0	0	0	0	0
20190103-oslos-politimester-i	0	1	0	0	0	0
20190103-ostberg-tok-en-suver	0	0	0	0	0	0
20190103-over-12000-meldte-se	0	0	0	0	0	0
20190103-politiet-mann-i-moss	0	0	0	0	0	0
20190103-populister-mot-eu-ka	0	0	0	0	0	0
20190103-rbk-back-pa-vei-til-	0	0	0	0	0	0
20190103-restaurantanmeldelse	0	0	0	0	0	0
20190103-rettssaken-etter-kha	0	0	0	0	0	0
20190103-russlands-trener-avs	0	0	0	0	0	0
20190103-skadet-seg-pa-trenin	1	0	0	0	0	0
20190103-slik-har-det-gatt-me	0	0	0	0	0	0
20190103-svindals-kne-vondere	0	0	0	0	0	0
20190103-togulykken-i-danmark	0	0	0	0	0	0
20190103-tromso-lopet-setter-	0	0	0	0	0	0
20190103-tysk-lasteskip-miste	0	0	0	0	0	0
20190103-uhrenholdt-jacobsen-	0	0	0	0	0	0
20190103-ulykke-i-barnehage--	0	0	0	0	0	0
20190103-usa-og-israel-har-fo	0	0	0	0	0	0
20190103-uvar-pa-vei-til-thai	0	0	0	0	0	0
